file_name,bcs,prefix,cow_id,image_id,cow_group_id,path
GS_1003_1.jpg,3.25,GS,1003,1,GS_1003,../cropped_dataset\3.25\GS_1003_1.jpg
GS_1003_10.jpg,3.25,GS,1003,10,GS_1003,../cropped_dataset\3.25\GS_1003_10.jpg
GS_1003_2.jpg,3.25,GS,1003,2,GS_1003,../cropped_dataset\3.25\GS_1003_2.jpg
GS_1003_3.jpg,3.25,GS,1003,3,GS_1003,../cropped_dataset\3.25\GS_1003_3.jpg
GS_1003_4.jpg,3.25,GS,1003,4,GS_1003,../cropped_dataset\3.25\GS_1003_4.jpg
GS_1003_5.jpg,3.25,GS,1003,5,GS_1003,../cropped_dataset\3.25\GS_1003_5.jpg
GS_1003_6.jpg,3.25,GS,1003,6,GS_1003,../cropped_dataset\3.25\GS_1003_6.jpg
GS_1003_7.jpg,3.25,GS,1003,7,GS_1003,../cropped_dataset\3.25\GS_1003_7.jpg
GS_1003_8.jpg,3.25,GS,1003,8,GS_1003,../cropped_dataset\3.25\GS_1003_8.jpg
GS_1003_9.jpg,3.25,GS,1003,9,GS_1003,../cropped_dataset\3.25\GS_1003_9.jpg
GS_1005_1.jpg,3.25,GS,1005,1,GS_1005,../cropped_dataset\3.25\GS_1005_1.jpg
GS_1005_2.jpg,3.25,GS,1005,2,GS_1005,../cropped_dataset\3.25\GS_1005_2.jpg
GS_1005_3.jpg,3.25,GS,1005,3,GS_1005,../cropped_dataset\3.25\GS_1005_3.jpg
GS_1005_4.jpg,3.25,GS,1005,4,GS_1005,../cropped_dataset\3.25\GS_1005_4.jpg
GS_1005_5.jpg,3.25,GS,1005,5,GS_1005,../cropped_dataset\3.25\GS_1005_5.jpg
GS_1005_6.jpg,3.25,GS,1005,6,GS_1005,../cropped_dataset\3.25\GS_1005_6.jpg
GS_1005_7.jpg,3.25,GS,1005,7,GS_1005,../cropped_dataset\3.25\GS_1005_7.jpg
GS_1005_8.jpg,3.25,GS,1005,8,GS_1005,../cropped_dataset\3.25\GS_1005_8.jpg
